"id","name","creator_id","created_at"
1,boshqaruv hisobi 300,"7781397689",2026-05-26 18:10:30.736 +0500
2,Bojxona,"7046468397",2026-05-26 18:10:30.736 +0500
3,Biznes huquq,"8454870483",2026-05-26 18:10:30.736 +0500
4,Tabiiy fanlar nazariyasi,"2014973670",2026-05-26 18:10:30.736 +0500
5,макроэкономика 1-25,"8304990927",2026-05-26 18:10:30.736 +0500
6,Falsafa,"2014973670",2026-05-26 18:10:30.736 +0500
7,İqtisodiy tahlil,"5660496760",2026-05-26 18:10:30.736 +0500
8,biznes huquqi,"7871228808",2026-05-26 18:10:30.736 +0500
9,MAKRO YAKUNIY TEST,"7046468397",2026-05-26 18:10:30.736 +0500
10,ekonometrika,"2014973670",2026-05-26 18:10:30.736 +0500
11,Qy,"2014973670",2026-05-26 18:10:30.736 +0500
12,Pedagogika,"2014973670",2026-05-26 18:10:30.736 +0500
13,BOSHQARUV HISOBI,"7871228808",2026-05-26 18:10:30.736 +0500
14,"1C","1257532925",2026-05-26 18:10:30.736 +0500
15,BOSHQARUV HISOBI 26-50,"7871228808",2026-05-26 18:10:30.736 +0500
16,Iqtisodiy tahlil,"2014973670",2026-05-26 18:10:30.736 +0500
17,Boshqaruv his,"2014973670",2026-05-26 18:10:30.736 +0500
18,boshqaruv hisobi,"7871228808",2026-05-26 18:10:30.736 +0500
19,ozbek,"2014973670",2026-05-26 18:10:30.736 +0500
20,korporativ,"2014973670",2026-05-26 18:10:30.736 +0500
21,Anatomiya,"1257532925",2026-05-26 18:10:30.736 +0500
22,Q7,"2014973670",2026-05-26 18:10:30.736 +0500
23,bzns,"6694997339",2026-05-26 18:10:30.736 +0500
24,Misol 1,"7046468397",2026-05-26 18:10:30.736 +0500
25,marketing,"7046468397",2026-05-26 18:10:30.736 +0500
26,Matematika-oqitish -IV-smstr,"2014973670",2026-05-26 18:10:30.736 +0500
27,Fizika,"2014973670",2026-05-26 18:10:30.736 +0500
28,ai,"2014973670",2026-05-26 18:10:30.736 +0500
29,Boshqaruv hisobi,"7871228808",2026-05-26 18:10:30.736 +0500
30,Yangi ozb tarix A,"5552137993",2026-05-26 18:10:30.736 +0500
31,boshqaruv hisobi oxiridan boshiga,"7781397689",2026-05-26 18:10:30.736 +0500
32,Inklyuzif,"2014973670",2026-05-26 18:10:30.736 +0500
33,salom,"2014973670",2026-05-26 18:10:30.736 +0500
34,"2ni kvadrati","6964059679",2026-05-26 18:10:30.736 +0500
35,Boshqaruv hisobi 1,"7781397689",2026-05-26 18:10:30.736 +0500
36,boshqaruv hisobi,"2014973670",2026-05-26 18:10:30.736 +0500
